id,date,municipality,province,area_ha,lat,lon,p_fuego,prediction
274509,2025-07-13,Talavera de la Reina,Toledo,46,39.9603798,-4.8311717,0.9656,1
277681,2025-08-05,Valdepeñas,Ciudad Real,46,38.7594573,-3.3847392,0.0021,0
266924,2025-04-10,Peñamellera Alta,Asturias,45,43.3105213,-4.7122719,0.9900,1
278867,2025-08-19,Guardia, La,Toledo,45,39.7861587,-3.4750404,0.9883,1
277109,2025-08-06,Camariñas,A Coruña,45,43.1310578,-9.1825585,0.8932,1
266484,2025-04-05,Baztan,Navarra,45,43.1628957,-1.4935352,0.0016,0
266913,2025-04-08,Cabrales,Asturias,45,43.2713716,-4.8296951,0.7570,1
279368,2025-08-20,Zalamea de la Serena,Badajoz,44,38.6495978,-5.6592697,0.9930,1
265018,2025-03-10,Miera,Cantabria,44,43.2754402,-3.7126373,0.9927,1
272094,2025-06-21,Villaviciosa de Córdoba,Córdoba,43,38.0756277,-5.0146332,0.9932,1
277333,2025-08-06,Robla, La,León,43,42.8042648,-5.6264219,0.9936,1
274508,2025-07-12,Cuéllar,Segovia,43,41.3997643,-4.3150702,0.9924,1
267176,2025-03-31,Lena,Asturias,43,43.1615692,-5.8281354,0.9933,1
261681,2025-03-04,Cangas de Onís,Asturias,42,43.3136138,-5.0658503,0.9917,1
266707,2025-04-08,Izagaondoa,Navarra,42,42.7280474,-1.4104668,0.9920,1
270823,2025-05-27,Moguer,Huelva,42,37.2746182,-6.8373527,0.9893,1
265070,2025-03-07,Riotuerto,Cantabria,42,43.3326111,-3.6961004,0.9769,1
264909,2025-03-29,Corrales de Buelna, Los,Cantabria,42,43.2625976,-4.0544987,0.9931,1
265484,2025-04-01,Luena,Cantabria,42,43.1117585,-3.9070384,0.9933,1
279801,2025-08-15,Casas de Don Pedro,Badajoz,41,39.1050329,-5.3287379,0.9928,1
267175,2025-03-31,Lena,Asturias,41,43.1615692,-5.8281354,0.9933,1
278950,2025-08-17,Muelas del Pan,Zamora,41,41.5223667,-5.9684562,0.9933,1
280737,2025-09-04,Cartaya,Huelva,41,37.2829111,-7.1545752,0.9928,1
282168,2025-09-20,Fonsagrada, A,Lugo,41,43.1248311,-7.0676605,0.9931,1
279348,2025-08-12,Arroyomolinos de León,Huelva,40,38.0235708,-6.4224907,0.9926,1
279308,2025-08-18,Riós,Ourense,40,41.9754084,-7.2665824,0.9932,1
278273,2025-08-12,Colmenar Viejo,Madrid,40,40.6588647,-3.7659022,0.0018,0
272831,2025-06-25,Berge,Teruel,40,40.8577139,-0.4271096,0.9934,1
278512,2025-08-16,Ponga,Asturias,39,43.1873037,-5.1540872,0.9926,1
281430,2025-09-14,Villares del Saz,Cuenca,39,39.8405925,-2.5052703,0.9932,1
265020,2025-03-31,San Roque de Riomiera,Cantabria,39,43.2191046,-3.7200789,0.9937,1
282153,2025-09-22,Cantillana,Sevilla,38,37.6088766,-5.8244449,0.9943,1
279779,2025-08-29,Loranca de Tajuña,Guadalajara,38,40.4478562,-3.1160668,0.9928,1
276353,2025-07-30,Usagre,Badajoz,38,38.3555001,-6.1647163,0.9929,1
281041,2025-09-11,Higuera de la Sierra,Huelva,38,37.8365154,-6.4478855,0.9933,1
276563,2025-08-01,Escacena del Campo,Huelva,38,37.4088438,-6.3896302,0.9944,1
271980,2025-06-17,Mérida,Badajoz,38,38.9174665,-6.3443977,0.9924,1
276362,2025-07-31,Cáceres,Cáceres,37,39.4745175,-6.3716761,0.9515,1
281165,2025-09-05,Mezquita, A,Ourense,37,42.0444565,-7.0192944,0.9927,1
281115,2025-09-13,Alcaucín,Málaga,36,36.9025563,-4.1140053,0.9932,1
266844,2025-04-04,Arenas de Iguña,Cantabria,36,43.1870286,-4.0496673,0.9936,1
268834,2025-04-28,Soba,Cantabria,36,43.1915054,-3.5623672,0.9934,1
265471,2025-04-01,Luzaide / Valcarlos,Navarra,36,43.0926454,-1.3017388,0.9927,1
278854,2025-08-18,Brañosera,Palencia,35,42.9360092,-4.3076006,0.9920,1
273156,2025-07-02,Mezquita, A,Ourense,35,42.0444565,-7.0192944,0.0016,0
254787,2025-02-19,Selaya,Cantabria,34,43.216694,-3.806861,0.9940,1
266435,2025-04-01,Soba,Cantabria,34,43.1915054,-3.5623672,0.9932,1
268664,2025-04-11,Cieza,Cantabria,34,43.2230443,-4.1248734,0.9919,1
276909,2025-08-01,Lousame,A Coruña,34,42.7733607,-8.8329571,0.0066,0
277900,2025-08-09,Padrenda,Ourense,33,42.119224,-8.1557789,0.9215,1
279358,2025-08-20,Puebla de Cazalla, La,Sevilla,33,37.1170166,-5.2022521,0.9931,1
279673,2025-08-14,Alberca, La,Salamanca,33,40.4922155,-6.1029079,0.9927,1
278909,2025-08-18,Benquerencia de la Serena,Badajoz,33,38.6994635,-5.4952776,0.9929,1
276716,2025-08-02,Porto do Son,A Coruña,32,43.3560593,-8.4050559,0.9639,1
273847,2025-07-03,Zarza de Granadilla,Cáceres,32,40.2369055,-6.0471736,0.7983,1
279208,2025-08-12,Cartelle,Ourense,32,42.2378413,-8.0327765,0.9927,1
271579,2025-06-16,Trujillo,Cáceres,32,39.4605657,-5.8816626,0.9929,1
279211,2025-08-16,San Cibrao das Viñas,Ourense,32,42.2964763,-7.8723141,0.9917,1
265133,2025-03-07,Luena,Cantabria,31,43.1117585,-3.9070384,0.0014,0
